Title,Statement text,GOV WCAG Primer URL,Order
1.1.1 Non-text Content (A),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.1.1 Non-text Content (A). Information in images is not available to people who cannot see it, such as screen reader users.",https://alphagov.github.io/wcag-primer/all.html#1-1-1-non-text-content-a,1
1.2.1 Audio-only and Video-only (Prerecorded) (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.2.1 Audio-only and Video-only (Prerecorded) (A). ,https://alphagov.github.io/wcag-primer/all.html#1-2-1-audio-only-and-video-only-a,2
1.2.2 Captions (Prerecorded) (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.2.2 Captions (Prerecorded) (A). ,https://alphagov.github.io/wcag-primer/all.html#1-2-2-captions-prerecorded-a,3
1.2.3 Audio Description or Media Alternative (Prerecorded) (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.2.3 Audio Description or Media Alternative (Prerecorded) (A). ,https://alphagov.github.io/wcag-primer/all.html#1-2-3-audio-description-or-media-alternative-a,4
1.2.4 Captions (Live) (AA),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.2.4 Captions (Live) (AA). People who are deaf or hard of hearing cannot watch real-time presentations.,https://alphagov.github.io/wcag-primer/all.html#1-2-4-captions-live-aa,5
1.2.5 Audio Description (Prerecorded) (AA),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.2.5 Audio Description (Prerecorded) (AA). ,https://alphagov.github.io/wcag-primer/all.html#1-2-5-audio-description-pre-recorded-aa,6
1.3.1 Info and Relationships (A),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.3.1 Info and Relationships (A). Screen reader, screen magnifier and speech recognition tool users may not be able to work out how the page is organised.",https://alphagov.github.io/wcag-primer/all.html#1-3-1-info-and-relationships-a,7
1.3.2 Meaningful Sequence (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.3.2 Meaningful Sequence (A). Screen reader users won't be able to read the content in a meaningful order.,https://alphagov.github.io/wcag-primer/all.html#1-3-2-meaningful-sequence-a,8
1.3.3 Sensory Characteristics (A),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.3.3 Sensory Characteristics (A). People who cannot see or recognise shape, size, colour, or location may not understand the instructions.",https://alphagov.github.io/wcag-primer/all.html#1-3-3-sensory-characteristics-a,9
1.3.4 Orientation (AA),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.3.4 Orientation (AA). Users with low-vision or with dexterity issues will not be able to view content in the orientation that works best for them.,https://alphagov.github.io/wcag-primer/all.html#1-3-4-orientation-a,10
1.3.5 Identify Input Purpose (AA),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.3.5 Identify Input Purpose (AA). On a form, disabled users will not know the specific kind of data expected or an autocomplete input will not work.",https://alphagov.github.io/wcag-primer/all.html#1-3-5-identify-input-purpose-aa,11
1.4.1 Use of Color (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.4.1 Use of Color (A). People who are colour blind may not be able to understand the meaning conveyed by the colour. ,https://alphagov.github.io/wcag-primer/all.html#1-4-1-use-of-colour-a,12
1.4.2 Audio Control (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.4.2 Audio Control (A). People who use screen reading software will find it hard to hear the screen reader because other audio is playing at the same time.,https://alphagov.github.io/wcag-primer/all.html#1-4-2-audio-control-a,13
1.4.3 Contrast (Minimum) (AA),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.4.3 Contrast (Minimum) (AA). People, especially partially sighted people, will find it hard to read text because the contrast is poor.",https://alphagov.github.io/wcag-primer/all.html#1-4-3-contrast-minimum-aa,14
1.4.4 Resize text (AA),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.4.4 Resize text (AA). People, especially partially sighted people, will find it hard to read text because they cannot increase the font size.",https://alphagov.github.io/wcag-primer/all.html#1-4-4-resize-text-aa,15
1.4.5 Images of Text (AA),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.4.5 Images of Text (AA). Images of text are hard to read and there is no alternative way to read the text.,https://alphagov.github.io/wcag-primer/all.html#1-4-5-images-of-text-aa,16
1.4.10 Reflow (AA),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.4.10 Reflow (AA). People with low vision who need enlarged text will have to scroll to see the whole page or will not be able to read it if the text overlaps other text. ,https://alphagov.github.io/wcag-primer/all.html#1-4-10-reflow-aa,17
1.4.11 Non-text Contrast (AA),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.4.11 Non-text Contrast (AA). Colour contrast is too low so that people with moderately low vision cannot make out some user interfaces or graphics.,https://alphagov.github.io/wcag-primer/all.html#1-4-11-non-text-contrast-aa,18
1.4.12 Text Spacing (AA),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.4.12 Text Spacing (AA). People cannot change the text spacing to make it easier for them to read the text.,https://alphagov.github.io/wcag-primer/all.html#1-4-12-text-spacing-aa,19
1.4.13 Content on Hover or Focus (AA),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 1.4.13 Content on Hover or Focus (AA). On mobile or tablets, pop-ups do not stay visible or cannot be hidden again, making it impossible to read the information.",https://alphagov.github.io/wcag-primer/all.html#1-4-13-content-on-hover-or-focus-aa,20
2.1.1 Keyboard (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.1.1 Keyboard (A). People with mobility or dexterity impairments who do not use a mouse cannot use the system.,https://alphagov.github.io/wcag-primer/all.html#2-1-1-keyboard-a,21
2.1.2 No Keyboard Trap (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.1.2 No Keyboard Trap (A). People who use a keyboard may get stuck on part of the page.,https://alphagov.github.io/wcag-primer/all.html#2-1-2-no-keyboard-trap-a,22
2.1.4 Character Key Shortcuts (A),[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.1.4 Character Key Shortcuts (A). Keyboard shortcuts built into the site may make it harder for speech input and keyboard users to use the site.,https://alphagov.github.io/wcag-primer/all.html#2-1-4-character-key-shortcuts-a,23
2.2.1 Timing Adjustable (A),"[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.2.1 Timing Adjustable (A). Without control over short timeouts, people with disabilities may not have enough time to complete their task.",https://alphagov.github.io/wcag-primer/all.html#2-2-1-timing-adjustable-a,24
"2.2.2 Pause, Stop, Hide (A)","[INSERT ISSUE FOUND TEXT HERE] - this fails WCAG 2.1 success criterion 2.2.2 Pause, Stop, Hide (A). If users are unable to pause moving content it may be difficult or even impossible for them to interact with the rest of the Web page.",https://alphagov.github.io/wcag-primer/all.html#2-2-2-pause-stop-hide-a,25
